entity_code,park_code,queue_times_id,queue_times_name,touringplans_name,match_score
DL191,dl,11526,Mickey & Minnie's Runaway Railway,Mickey & Minnie's Runaway Railway,1.0
DL205,dl,14168,Tiana's Bayou Adventure,Tiana's Bayou Adventure,1.0
DL207,dl,12428,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,1.0
DL209,dl,11980,Goofy's How-to-Play Yard,Goofy’s How-To-Play Yard,0.98
DL210,dl,13814,Donald's Duck Pond,Donald’s Duck Pond,0.97
DL211,dl,324,Chip 'n' Dale's GADGETcoaster,Chip 'n' Dale’s GADGETcoaster,0.98
DL218,dl,14915,Opera House - Walt Disney - A Magical Life,Walt Disney - A Magical Life,0.8
DL218,dl,14923,Walt Disney - A Magical Life,Walt Disney - A Magical Life,1.0
DL220,dl,14326,Tiana's Bayou Adventure Single Rider,Tiana's Bayou Adventure Single Rider Line,0.93
DL24,dl,326,Indiana Jones™ Adventure,Indiana Jones Adventure,0.98
DL27,dl,307,"""it's a small world""","""it's a small world""",1.0
DL28,dl,296,Jungle Cruise,Jungle Cruise,1.0
DL29,dl,277,King Arthur Carrousel,King Arthur Carrousel,1.0
DL30,dl,278,Mad Tea Party,Mad Tea Party,1.0
DL31,dl,686,Main Street Cinema,Main Street Cinema,1.0
DL32,dl,456,Mark Twain Riverboat,Mark Twain Riverboat,1.0
DL33,dl,279,Matterhorn Bobsleds,Matterhorn Bobsleds,1.0
DL34,dl,709,Mickey's House and Meet Mickey Mouse,Mickey's House and Meet Mickey Mouse,1.0
DL34,dl,327,Mickey's House and Meet Mickey Mouse,Mickey's House and Meet Mickey Mouse,1.0
DL35,dl,684,Minnie's House,Minnie's House,1.0
DL37,dl,280,Mr. Toad's Wild Ride,Mr. Toad's Wild Ride,1.0
DL38,dl,281,Peter Pan's Flight,Peter Pan's Flight,1.0
DL39,dl,282,Pinocchio's Daring Journey,Pinocchio's Daring Journey,1.0
DL40,dl,289,Pirates of the Caribbean,Pirates of the Caribbean,1.0
DL41,dl,331,Pirate's Lair on Tom Sawyer Island,Pirate's Lair on Tom Sawyer Island,1.0
DL42,dl,332,Roger Rabbit's Car Toon Spin,Roger Rabbit's Car Toon Spin,1.0
DL44,dl,328,Sailing Ship Columbia,Sailing Ship Columbia,1.0
DL45,dl,283,Snow White's Enchanted Wish,Snow White’s Enchanted Wish,0.98
DL46,dl,284,Space Mountain,Space Mountain,1.0
DL50,dl,286,Star Tours - The Adventures Continue,Star Tours: The Adventures Continue,0.95
DL51,dl,305,Storybook Land Canal Boats,Storybook Land Canal Boats,1.0
DL53,dl,13958,Haunted Mansion,Haunted Mansion,1.0
DL54,dl,306,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,1.0
DL62,dl,691,Main Street Vehicles,Main Street Vehicles,1.0
DL66,dl,687,Sleeping Beauty Castle Walkthrough,Sleeping Beauty Castle Walkthrough,1.0
DL67,dl,695,The Disney Gallery,Disney Gallery,1.0
EP1174,ep,1174,For the First Time in Forever: A Frozen Sing-Along Celebration,,0.0
