district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Anoka-Hennepin School 2025-2026 in PDF,Minnesota,https://schoolcalendarinfo.com/anoka-hennepin-school/,anoka-hennepin-school,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-05,2025-09-02,2025-09-02,2026-06-05,2025-2026,2026-03-08
Apple Valley Unified School District 2025-2026 | AVUSD,,https://schoolcalendarinfo.com/apple-valley-unified-school-district/,apple-valley-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-05-28,2025-08-07,2025-08-07,2026-05-28,2025-2026,2026-03-08
Appoquinimink School District 2026-2027 in PDF,Delaware,https://schoolcalendarinfo.com/appoquinimink-school-district/,appoquinimink-school-district,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-12,2025-09-02,2025-09-02,2026-06-12,2025-2026,2026-03-08
Arlington Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/arlington-public-schools/,arlington-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-18,2025-08-25,2025-08-25,2026-06-18,2025-2026,2026-03-08
Ascension Parish Schools 2025-2026 in PDF,Louisiana,https://schoolcalendarinfo.com/ascension-parish-schools/,ascension-parish-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-21,2025-08-07,2025-08-07,2026-05-21,2025-2026,2026-03-08
Asheboro City Schools 2025-2026 in PDF | Download,North Carolina,https://schoolcalendarinfo.com/asheboro-city-schools/,asheboro-city-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Asheville City Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/asheville-city-schools/,asheville-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-05,2025-08-25,2025-08-25,2026-06-05,2025-2026,2026-03-08
Athens City Schools 2025-2026 PDF | Holiday Breaks,Alabama,https://schoolcalendarinfo.com/athens-city-schools/,athens-city-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-06,2026-05-21,2025-08-05,2025-08-05,2026-05-21,2025-2026,2026-03-08
Atlanta Public Schools Holidays 2022-2023,,https://schoolcalendarinfo.com/atlanta-public-schools/,atlanta-public-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-08-01,2025-08-01,2026-05-28,2025-2026,2026-03-08
Augusta County Schools Holidays 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/augusta-county-schools/,augusta-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-06,2026-05-21,2025-08-06,2025-08-06,2026-05-21,2025-2026,2026-03-08
Austin Independent School District Holidays 2025-2026,Texas,https://schoolcalendarinfo.com/austin-independent-school-district/,austin-independent-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-28,2025-08-19,2025-08-19,2026-05-28,2025-2026,2026-03-08
Autauga County Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/autauga-county-schools/,autauga-county-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-06,2026-05-22,2025-08-07,2025-08-07,2026-05-22,2025-2026,2026-03-08
Bakersfield City School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/bakersfield-city-school-district/,bakersfield-city-school-district,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-05-29,2025-08-13,2025-08-13,2026-05-29,2025-2026,2026-03-08
Baldwin County Public Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/baldwin-county-public-schools/,baldwin-county-public-schools,2026-04-13,2026-04-17,2025-12-22,2026-01-05,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Baltimore City Public Schools 2025-2026 (Maryland),Maryland,https://schoolcalendarinfo.com/baltimore-city-public-schools/,baltimore-city-public-schools,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-11,2025-08-25,2025-08-25,2026-06-11,2025-2026,2026-03-08
Baltimore County Public Schools 2025-2026,Maryland,https://schoolcalendarinfo.com/baltimore-county-public-schools-calendar-2022-2023/,baltimore-county-public-schools-calendar-2022-2023,2026-04-02,2026-04-10,2025-12-24,2026-01-02,2026-06-16,2025-08-25,2025-08-25,2026-06-16,2025-2026,2026-03-08
Barrow County Schools Holidays 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/barrow-county-schools/,barrow-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-01,2025-08-01,2026-05-20,2025-2026,2026-03-08
Bartlett City Schools 2025-2026 in PDF,Tennessee,https://schoolcalendarinfo.com/bartlett-city-schools/,bartlett-city-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-07,2025-08-07,2026-05-22,2025-2026,2026-03-08
Bay City School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/bay-city-school-district/,bay-city-school-district,,,,,2026-06-02,2025-08-19,2025-08-19,2026-06-02,2025-2026,2026-03-08
Beaufort County School District 2025-2026,South Carolina,https://schoolcalendarinfo.com/beaufort-county-school-district/,beaufort-county-school-district,2026-04-13,2026-04-17,2025-12-22,2026-01-06,2026-05-29,2025-08-06,2025-08-06,2026-05-29,2025-2026,2026-03-08
Beaverton School District 2025-2026 in PDF,Oregon,https://schoolcalendarinfo.com/beaverton-school-district/,beaverton-school-district,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-06-11,2025-08-26,2025-08-26,2026-06-11,2025-2026,2026-03-08
Bedford County Schools 2025-2026 in PDF,Tennessee,https://schoolcalendarinfo.com/bedford-county-schools/,bedford-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Bellevue School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/bellevue-school-district/,bellevue-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-18,2025-09-02,2025-09-02,2026-06-18,2025-2026,2026-03-08
Bellingham Public Schools 2025-2026 (Massachusetts),Massachusetts,https://schoolcalendarinfo.com/bellingham-public-schools/,bellingham-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-17,2025-08-27,2025-08-27,2026-06-17,2025-2026,2026-03-08
Bend La Pine Schools Holidays 2025-2026 in PDF,Oregon,https://schoolcalendarinfo.com/bend-la-pine-schools/,bend-la-pine-schools,2026-03-18,2026-03-27,2025-12-22,2026-01-02,2026-06-11,2025-09-03,2025-09-03,2026-06-11,2025-2026,2026-03-08
Bentonville Public Schools 2025-2026 in PDF,Arkansas,https://schoolcalendarinfo.com/bentonville-public-schools/,bentonville-public-schools,2026-03-20,2026-03-27,2025-12-22,2026-01-05,2026-05-27,2025-08-12,2025-08-12,2026-05-27,2025-2026,2026-03-08
Berea City School District 2025-2026 (Ohio),Ohio,https://schoolcalendarinfo.com/berea-city-school-district/,berea-city-school-district,2026-04-02,2026-04-10,2025-12-22,2026-01-02,2026-05-28,2025-08-20,2025-08-20,2026-05-28,2025-2026,2026-03-08
Berkeley County School District 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/berkeley-county-school-district/,berkeley-county-school-district,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-06-01,2025-08-13,2025-08-13,2026-06-01,2025-2026,2026-03-08
Bethel School District 2026-2027 in PDF | Washington,Washington,https://schoolcalendarinfo.com/bethel-school-district/,bethel-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-11,2025-08-27,2025-08-27,2026-06-11,2025-2026,2026-03-08
Billings Public Schools 2025-2026 PDF,Montana,https://schoolcalendarinfo.com/billings-public-schools/,billings-public-schools,2026-03-18,2026-03-20,2025-12-24,2026-01-02,2026-05-29,2025-09-02,2025-09-02,2026-05-29,2025-2026,2026-03-08
Birmingham City Schools 2025-2026 in PDF,Alabama,https://schoolcalendarinfo.com/birmingham-city-schools/,birmingham-city-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-06-05,2025-08-07,2025-08-07,2026-06-05,2025-2026,2026-03-08
Bismarck Public Schools Holidays 2025-2026 in PDF,North Dakota,https://schoolcalendarinfo.com/bismarck-public-schools/,bismarck-public-schools,2026-04-03,2026-04-06,2025-12-24,2026-01-05,2026-05-21,2025-08-19,2025-08-19,2026-05-21,2025-2026,2026-03-08
Bixby Public Schools 2025-2026 (Oklahoma),Oklahoma,https://schoolcalendarinfo.com/bixby-public-schools/,bixby-public-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-19,2025-08-19,2026-05-21,2025-2026,2026-03-08
Bloomington Public Schools 2025-2026 (Minnesota),Minnesota,https://schoolcalendarinfo.com/bloomington-public-schools/,bloomington-public-schools,2026-03-12,2026-03-20,2025-12-22,2026-01-02,2026-06-05,2025-09-02,2025-09-02,2026-06-05,2025-2026,2026-03-08
Blue Springs School District 2025-2026 in PDF,Kansas,https://schoolcalendarinfo.com/blue-springs-school-district/,blue-springs-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-19,2025-08-19,2026-05-22,2025-2026,2026-03-08
Blue Valley School District 2025-2026 (Kansas),Kansas,https://schoolcalendarinfo.com/blue-valley-school-district/,blue-valley-school-district,2026-03-13,2026-03-23,2025-12-22,2026-01-05,2026-05-22,2025-08-13,2025-08-13,2026-05-22,2025-2026,2026-03-08
Boise School District 2025-2026 in PDF,Idaho,https://schoolcalendarinfo.com/boise-school-district/,boise-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Boone County Schools 2025-2026 &amp; Holidays PDF,Kentucky,https://schoolcalendarinfo.com/boone-county-schools/,boone-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Bossier Parish Schools 2025-2026 in PDF,Louisiana,https://schoolcalendarinfo.com/bossier-parish-schools/,bossier-parish-schools,2026-03-09,2026-03-13,2025-12-18,2026-01-06,2026-05-19,2025-08-07,2025-08-07,2026-05-19,2025-2026,2026-03-08
Boston Public Schools Holidays 2025-2026 PDF,,https://schoolcalendarinfo.com/boston-public-schools/,boston-public-schools,2026-04-20,2026-04-24,2025-12-22,2026-01-02,2026-06-22,2025-09-04,2025-09-04,2026-06-22,2025-2026,2026-03-08
Brandywine School District 2025-2026 in PDF,Delaware,https://schoolcalendarinfo.com/brandywine-school-district/,brandywine-school-district,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Brevard Public Schools Holidays 2025-2026 PDF,,https://schoolcalendarinfo.com/brevard-public-schools/,brevard-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-02,2026-05-27,2025-08-11,2025-08-11,2026-05-27,2025-2026,2026-03-08
Brick Schools 2025-2026 | Academic Holidays,New Jersey,https://schoolcalendarinfo.com/brick-schools/,brick-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-17,2025-09-04,2025-09-04,2026-06-17,2025-2026,2026-03-08
Bridgeport Public Schools 2025-2026 in PDF,Connecticut,https://schoolcalendarinfo.com/bridgeport-public-schools/,bridgeport-public-schools,2026-04-03,2026-04-10,2025-12-24,2026-01-02,2026-06-17,2025-08-28,2025-08-28,2026-06-17,2025-2026,2026-03-08
Bridgewater-Raritan Regional School District 2025-2026,,https://schoolcalendarinfo.com/bridgewater-raritan-regional-school-district/,bridgewater-raritan-regional-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-18,2025-09-02,2025-09-02,2026-06-18,2025-2026,2026-03-08
Bristol Tennessee City Schools 2025-2026 in PDF,Tennessee,https://schoolcalendarinfo.com/bristol-tennessee-city-schools/,bristol-tennessee-city-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-04,2025-08-04,2026-05-22,2025-2026,2026-03-08
Brockton Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/brockton-public-schools/,brockton-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-18,2025-09-03,2025-09-03,2026-06-18,2025-2026,2026-03-08
Broken Arrow Public Schools 2025-2026 in PDF,Oklahoma,https://schoolcalendarinfo.com/broken-arrow-public-schools/,broken-arrow-public-schools,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Brookline Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/brookline-public-schools/,brookline-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-22,2025-09-02,2025-09-02,2026-06-22,2025-2026,2026-03-08
Broward County Public Schools Holidays 2025-2026,,https://schoolcalendarinfo.com/broward-county-public-schools/,broward-county-public-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-05,2026-06-03,2025-08-11,2025-08-11,2026-06-03,2025-2026,2026-03-08
Brunswick County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/brunswick-county-schools/,brunswick-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Bryan County Schools 2025-2026 | Academic,Georgia,https://schoolcalendarinfo.com/bryan-county-schools/,bryan-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Buford City Schools 2025-2026 in PDF | Academic,Georgia,https://schoolcalendarinfo.com/buford-city-schools/,buford-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-06,2026-05-21,2025-08-01,2025-08-01,2026-05-21,2025-2026,2026-03-08
Bullitt County Schools Holidays 2025-2026 in PDF,Kentucky,https://schoolcalendarinfo.com/bullitt-county-schools/,bullitt-county-schools,2026-04-06,2026-04-13,2025-12-22,2026-01-05,2026-05-22,2025-08-12,2025-08-12,2026-05-22,2025-2026,2026-03-08
Bulloch County Schools 2025-2026 with Holidays,Georgia,https://schoolcalendarinfo.com/bulloch-county-schools/,bulloch-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Burke County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/burke-county-schools/,burke-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-29,2025-08-25,2025-08-25,2026-05-29,2025-2026,2026-03-08
Burlingame School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/burlingame-school-district/,burlingame-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-06-11,2025-08-20,2025-08-20,2026-06-11,2025-2026,2026-03-08
Butts County Schools 2025-2026 in PDF | Download Now,Georgia,https://schoolcalendarinfo.com/butts-county-schools/,butts-county-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
CCISD 2025-2026 (Clear Creek Independent School District),Texas,https://schoolcalendarinfo.com/ccisd-calendar/,ccisd-calendar,2026-03-09,2026-03-13,2025-12-22,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
CCISD 2025-2026 (Corpus Christi Independent School District),Texas,https://schoolcalendarinfo.com/corpus-christi-independent-school-district/,corpus-christi-independent-school-district,2026-03-09,2026-03-13,2025-12-22,2026-01-06,2026-05-28,2025-08-11,2025-08-11,2026-05-28,2025-2026,2026-03-08
CMS Schools 2022-2023 | Charlotte-Mecklenburg Schools,Texas,https://schoolcalendarinfo.com/charlotte-mecklenburg-schools/,charlotte-mecklenburg-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-10,2025-08-25,2025-08-25,2026-06-10,2025-2026,2026-03-08
Cabarrus County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/cabarrus-county-schools/,cabarrus-county-schools,2026-03-09,2026-03-13,2025-12-22,2026-01-02,2026-05-21,2025-08-11,2025-08-11,2026-05-21,2025-2026,2026-03-08
Cabell County Schools 2025-2026 in PDF | Holiday Dates,Virginia,https://schoolcalendarinfo.com/cabell-county-schools/,cabell-county-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-05,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Cache County School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/cache-county-school-district/,cache-county-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-29,2025-08-20,2025-08-20,2026-05-29,2025-2026,2026-03-08
Caddo Parish Public Schools Holidays 2025-2026 PDF,Louisiana,https://schoolcalendarinfo.com/caddo-parish-public-schools/,caddo-parish-public-schools,2026-03-09,2026-03-13,2025-12-18,2026-01-05,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Caldwell County Schools 2025-2026 in PDF | Holiday,North Carolina,https://schoolcalendarinfo.com/caldwell-county-schools/,caldwell-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-02,2026-06-03,2025-08-25,2025-08-25,2026-06-03,2025-2026,2026-03-08
Calhoun City Schools 2025-2026 (Georgia),Georgia,https://schoolcalendarinfo.com/calhoun-city-schools/,calhoun-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-05,2025-08-05,2026-05-22,2025-2026,2026-03-08
Calvert County Public Schools 2025-2026 in PDF,Maryland,https://schoolcalendarinfo.com/calvert-county-public-schools/,calvert-county-public-schools,2026-03-30,2026-04-06,2025-12-24,2026-01-02,2026-06-10,2025-08-26,2025-08-26,2026-06-10,2025-2026,2026-03-08
Camas School District 2025-2026 (Washington),Washington,https://schoolcalendarinfo.com/camas-school-district/,camas-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-18,2025-08-25,2025-08-25,2026-06-18,2025-2026,2026-03-08
Cambridge Public Schools 2025-2026 in PDF,Massachusetts,https://schoolcalendarinfo.com/cambridge-public-schools/,cambridge-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-05,2026-06-23,2025-09-02,2025-09-02,2026-06-23,2025-2026,2026-03-08
Camden County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/camden-county-schools/,camden-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-21,2025-08-06,2025-08-06,2026-05-21,2025-2026,2026-03-08
Canyons School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/canyons-school-district/,canyons-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Capistrano Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/capistrano-unified-school-district-calendar-2023-2024-in-pdf/,capistrano-unified-school-district-calendar-2023-2024-in-pdf,2026-04-06,2026-04-10,2025-12-19,2026-01-02,2026-06-04,2025-08-19,2025-08-19,2026-06-04,2025-2026,2026-03-08
Carmel Central School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/carmel-central-school-district/,carmel-central-school-district,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-26,2025-09-02,2025-09-02,2026-06-26,2025-2026,2026-03-08
Carmel Clay Schools 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/carmel-clay-schools/,carmel-clay-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-06,2025-08-06,2026-05-22,2025-2026,2026-03-08
Carroll County Public Schools 2025-2026 in PDF,Maryland,https://schoolcalendarinfo.com/carroll-county-public-schools/,carroll-county-public-schools,2026-04-02,2026-04-07,2025-12-22,2026-01-05,2026-06-12,2025-09-02,2025-09-02,2026-06-12,2025-2026,2026-03-08
Carrollton City Schools 2025-2026 in PDF | Download,Georgia,https://schoolcalendarinfo.com/carrollton-city-schools/,carrollton-city-schools,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-20,2025-08-11,2025-08-11,2026-05-20,2025-2026,2026-03-08
Carrollton-Farmers Branch ISD 2025-2026 in PDF,Texas,https://schoolcalendarinfo.com/carrollton-farmers-branch-isd/,carrollton-farmers-branch-isd,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-21,2025-08-12,2025-08-12,2026-05-21,2025-2026,2026-03-08
Catawba County Schools 2025-2026 in PDF | Holidays,North Carolina,https://schoolcalendarinfo.com/catawba-county-schools/,catawba-county-schools,2026-04-03,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-25,2025-08-25,2026-05-22,2025-2026,2026-03-08
Catoosa County Schools 2025-2026 in PDF,Georgia,https://schoolcalendarinfo.com/catoosa-county-schools/,catoosa-county-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-05,2026-05-29,2025-08-08,2025-08-08,2026-05-29,2025-2026,2026-03-08
Cecil County Public Schools 2025-2026 in PDF,Maryland,https://schoolcalendarinfo.com/cecil-county-public-schools/,cecil-county-public-schools,2026-04-03,2026-04-06,2025-12-24,2026-01-02,2026-06-11,2025-09-02,2025-09-02,2026-06-11,2025-2026,2026-03-08
Cedar Falls Schools 2025-2026 in PDF | Download Now,Iowa,https://schoolcalendarinfo.com/cedar-falls-schools/,cedar-falls-schools,2026-03-13,2026-03-20,2025-12-22,2026-01-02,2026-06-01,2025-08-25,2025-08-25,2026-06-01,2025-2026,2026-03-08
Centennial School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/centennial-school-district/,centennial-school-district,2026-04-02,2026-04-06,2025-12-24,2026-01-02,2026-06-09,2025-08-27,2025-08-27,2026-06-09,2025-2026,2026-03-08
Centerville City Schools 2025-2026 (Ohio),Ohio,https://schoolcalendarinfo.com/centerville-city-schools/,centerville-city-schools,2026-03-20,2026-03-27,2025-12-22,2026-01-02,2026-05-28,2025-08-13,2025-08-13,2026-05-28,2025-2026,2026-03-08
Central Bucks School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/central-bucks-school-district/,central-bucks-school-district,2026-04-02,2026-04-06,2025-12-24,2026-01-02,2026-06-12,2025-09-02,2025-09-02,2026-06-12,2025-2026,2026-03-08
Central Kitsap School District 2025-2026 in PDF,Washington,https://schoolcalendarinfo.com/central-kitsap-school-district/,central-kitsap-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-06-16,2025-09-03,2025-09-03,2026-06-16,2025-2026,2026-03-08
Central Unified School District 2026-2027 in PDF,California,https://schoolcalendarinfo.com/central-unified-school-district/,central-unified-school-district,2026-03-30,2026-04-10,2025-12-22,2026-01-12,2026-06-12,2025-08-13,2025-08-13,2026-06-12,2025-2026,2026-03-08
Chandler Unified School District 80 2025-2026,Arizona,https://schoolcalendarinfo.com/chandler-unified-school-district-80/,chandler-unified-school-district-80,,,2025-12-19,2026-01-05,2026-05-21,2025-07-16,2025-07-16,2026-05-21,2025-2026,2026-03-08
Chapel Hill Carrboro City Schools 2025 in PDF,North Carolina,https://schoolcalendarinfo.com/chapel-hill-carrboro-city-schools/,chapel-hill-carrboro-city-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-11,2025-08-25,2025-08-25,2026-06-11,2025-2026,2026-03-08
Charles County Public Schools 2025-2026 PDF,,https://schoolcalendarinfo.com/charles-county-public-schools/,charles-county-public-schools,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-11,2025-08-25,2025-08-25,2026-06-11,2025-2026,2026-03-08
Charleston County School District 2025-2026 in PDF,South Carolina,https://schoolcalendarinfo.com/charleston-county-school-district/,charleston-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-28,2025-08-12,2025-08-12,2026-05-28,2025-2026,2026-03-08
Chatham County School 2026-2027 in PDF,North Carolina,https://schoolcalendarinfo.com/chatham-county-school/,chatham-county-school,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-10,2025-08-26,2025-08-26,2026-06-10,2025-2026,2026-03-08
Cheatham County Schools 2025 in PDF | Download Now,Tennessee,https://schoolcalendarinfo.com/cheatham-county-schools/,cheatham-county-schools,2026-03-27,2026-04-03,2025-12-22,2026-01-05,2026-05-20,2025-08-07,2025-08-07,2026-05-20,2025-2026,2026-03-08
Cherokee County School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/cherokee-county-school-district/,cherokee-county-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-05,2026-05-22,2025-08-01,2025-08-01,2026-05-22,2025-2026,2026-03-08
Cherry Creek School District 2025-2026 in PDF,Colorado,https://schoolcalendarinfo.com/cherry-creek-school-district/,cherry-creek-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-05,2026-05-22,2025-08-11,2025-08-11,2026-05-22,2025-2026,2026-03-08
Cherry Hill Public Schools 2025-2026 in PDF,New Jersey,https://schoolcalendarinfo.com/cherry-hill-public-schools/,cherry-hill-public-schools,2026-03-30,2026-04-03,2025-12-24,2026-01-02,2026-06-18,2025-09-02,2025-09-02,2026-06-18,2025-2026,2026-03-08
Chesapeake Public Schools 2025-2026,Virginia,https://schoolcalendarinfo.com/chesapeake-public-schools/,chesapeake-public-schools,2026-04-06,2026-04-13,2025-12-22,2026-01-02,2026-06-16,2025-09-02,2025-09-02,2026-06-16,2025-2026,2026-03-08
Chesterfield County Public Schools 2025-2026,Virginia,https://schoolcalendarinfo.com/chesterfield-county-public-schools/,chesterfield-county-public-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-29,2025-08-18,2025-08-18,2026-05-29,2025-2026,2026-03-08
Chicago Public Schools Holidays 2025-2026 PDF,,https://schoolcalendarinfo.com/chicago-public-schools/,chicago-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-06-04,2025-08-18,2025-08-18,2026-06-04,2025-2026,2026-03-08
Chico Unified School District 2025-2026 in PDF,California,https://schoolcalendarinfo.com/chico-unified-school-district/,chico-unified-school-district,2026-03-16,2026-03-20,2025-12-22,2026-01-02,2026-06-05,2025-08-19,2025-08-19,2026-06-05,2025-2026,2026-03-08
Chippewa Valley Schools 2025-2026 (Michigan),Michigan,https://schoolcalendarinfo.com/chippewa-valley-schools/,chippewa-valley-schools,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-06-11,2025-09-02,2025-09-02,2026-06-11,2025-2026,2026-03-08
Christina School District 2025-2026 in PDF,Delaware,https://schoolcalendarinfo.com/christina-school-district/,christina-school-district,2026-04-02,2026-04-10,2025-12-22,2026-01-02,2026-06-10,2025-09-02,2025-09-02,2026-06-10,2025-2026,2026-03-08
Chula Vista Elementary School District 2025-2026,California,https://schoolcalendarinfo.com/chula-vista-elementary-school-district/,chula-vista-elementary-school-district,2026-03-23,2026-04-03,2025-12-22,2026-01-12,2026-06-05,2025-07-23,2025-07-23,2026-06-05,2025-2026,2026-03-08
Cincinnati Public Schools 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/cincinnati-public-schools/,cincinnati-public-schools,2026-03-23,2026-03-27,2025-12-22,2026-01-05,2026-05-28,2025-08-20,2025-08-20,2026-05-28,2025-2026,2026-03-08
Citrus County School 2025-2026 in PDF,Florida,https://schoolcalendarinfo.com/citrus-county-school/,citrus-county-school,2026-03-23,2026-03-27,2025-12-22,2026-01-06,2026-05-29,2025-08-11,2025-08-11,2026-05-29,2025-2026,2026-03-08
