leaid,lea_name,state,city,enrollment_2324,website,lea_type,operational_schools
4007410,CHEROKEE,OK,CHEROKEE,379,http://cherokee.k12.ok.us/,Regular public school district that is not a component of a supervisory union,3
4900061,Walden School of Liberal Arts,UT,PROVO,379,http://waldenschool.us,Independent charter district,1
5508280,Luck School District,WI,Luck,379,http://www.lucksd.k12.wi.us,Regular public school district that is not a component of a supervisory union,3
0400279,West Gilbert Charter Elementary School Inc. (79497),AZ,PHOENIX,378,http://www.imaginebuckeye.org,Independent charter district,1
0601879,BRIDGES Charter District,CA,Thousand Oaks,378,http://www.bridgescharter.org,Independent charter district,1
0602381,Sage Oak Charter School- Keppel District,CA,Redlands,378,http://www.sageoak.education,Independent charter district,1
1800021,Signature School Inc,IN,Evansville,378,http://www.signature.edu,Independent charter district,1
2005130,Conway Springs,KS,Conway Springs,378,http://usd356.org,Regular public school district that is not a component of a supervisory union,3
2700349,PIM Arts High School,MN,EDEN PRAIRIE,378,http://www.pimartshs.org/,Independent charter district,1
3024230,Sidney H S,MT,Sidney,378,http://mt01001320.schoolwires.net,Regular public school district that is not a component of a supervisory union,1
3500187,21ST CENTURY PUBLIC ACADEMY,NM,ALBUQUERQUE,378,http://21stcenturypa.com,Independent charter district,1
3901503,Akron Preparatory School,OH,Akron,378,http://www.akronprep.org,Independent charter district,1
4031950,WAUKOMIS,OK,Waukomis,378,http://www.waukomis.k12.ok.us,Regular public school district that is not a component of a supervisory union,2
5500041,Central City Cyberschool of Milwaukee Inc,WI,Milwaukee,378,http://www.cyberschool-milwaukee.org,Independent charter district,1
0602418,Stockton Collegiate International Elementary District,CA,Stockton,377,http://www.stocktoncollegiate.org,Independent charter district,1
2606930,Britton Deerfield Schools,MI,BRITTON,377,http://bdschools.us,Regular public school district that is not a component of a supervisory union,2
3171520,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,NE,HARTINGTON,377,,Regular public school district that is not a component of a supervisory union,2
3601190,ACADEMY OF HEALTH SCIENCES CHARTER SCHOOL,NY,ROCHESTER,377,http://www.ahscharter.org,Independent charter district,1
3901353,Horizon Science Academy Elementary School,OH,Columbus,377,http://es.horizoncolumbus.org/,Independent charter district,1
0400130,Edkey Inc. dba American Heritage Academy  (6365),AZ,COTTONWOOD,376,http://www.americanheritageacademy.org/home,Independent charter district,2
1740740,Warren CUSD 205,IL,Warren,376,http://205warren.net,Regular public school district that is not a component of a supervisory union,2
1800006,Indiana Department of Correction,IN,Indianapolis,376,http://www.in.gov/idoc/,State operated agency,4
1919710,Moravia Comm School District,IA,Moravia,376,http://www.moraviacsd.com,Regular public school district that is not a component of a supervisory union,2
2011760,Solomon,KS,Solomon,376,http://www.usd393.net,Regular public school district that is not a component of a supervisory union,2
2913320,GREENFIELD R-IV,MO,GREENFIELD,376,http://WWW.GREENFIELDWILDCATS.ORG,Regular public school district that is not a component of a supervisory union,2
3403690,Delanco Township School District,NJ,Delanco,376,http://www.delanco.com,Regular public school district that is not a component of a supervisory union,2
3613830,HARTFORD CENTRAL SCHOOL DISTRICT,NY,HARTFORD,376,http://www.hartfordcsd.org,Regular public school district that is not a component of a supervisory union,2
4619450,Dupree School District 64-2,SD,Dupree,376,http://www.dupree.k12.sd.us,Regular public school district that is not a component of a supervisory union,3
0400389,Kaizen Education Foundation dba Maya High School (79882),AZ,PHOENIX,375,http://www.mayahs.com,Independent charter district,1
0504560,CONCORD SCHOOL DISTRICT,AR,CONCORD,375,http://concord.k12.ar.us,Regular public school district that is not a component of a supervisory union,2
0602018,Barack Obama Charter District,CA,Los Angeles,375,http://www.barackobamacharter.org,Independent charter district,1
1600194,THOMAS JEFFERSON CHARTER SCHOOL INC.,ID,CALDWELL,375,,Independent charter district,1
