district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Douglas County Schools 2025-2026 in PDF,Georgia,douglas-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-19,2025-01-03,2025-05-21,2024-08-01,2024-08-01,2025-05-21,schoolcalendarinfo.com (current page)
Downingtown Area School District 2025-2026,Pennsylvania,downingtown-area-school-district,2024-2025,2025-04-17,2025-04-21,2024-12-23,2025-01-01,2025-06-05,2024-08-26,2024-08-26,2025-06-05,schoolcalendarinfo.com (current page)
East Allen County Schools 2025-2026 in PDF,Indiana,east-allen-county-schools,2024-2025,2025-03-28,2025-04-04,2024-12-23,2025-01-06,2025-05-21,2024-08-07,2024-08-07,2025-05-21,schoolcalendarinfo.com (current page)
Edina Public Schools 2025-2026 PDF | Academic,Minnesota,edina-public-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-30,2024-08-26,2024-08-26,2025-05-30,schoolcalendarinfo.com (current page)
Edison Township Public Schools 2025 in PDF,New Jersey,edison-township-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-24,2025-01-01,2025-06-25,2024-09-05,2024-09-05,2025-06-25,schoolcalendarinfo.com (current page)
Edmond Public Schools 2025-2026 in PDF,Oklahoma,edmond-public-schools,2024-2025,2025-03-17,2025-03-21,2024-12-20,2025-01-06,2025-05-21,2024-08-15,2024-08-15,2025-05-21,schoolcalendarinfo.com (current page)
Elizabethton City Schools 2025-2026 (Tennessee),Tennessee,elizabethton-city-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-07,2025-05-23,2024-08-06,2024-08-06,2025-05-23,schoolcalendarinfo.com (current page)
Elkhart Community Schools 2025-2026 &amp; Holidays,Indiana,elkhart-community-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-29,2024-08-15,2024-08-15,2025-05-29,schoolcalendarinfo.com (current page)
Enfield Public Schools 2025-2026 in PDF,Connecticut,enfield-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-11,2024-08-29,2024-08-29,2025-06-11,schoolcalendarinfo.com (current page)
Enid Public Schools 2025-2026,,enid-public-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-15,2024-08-14,2024-08-14,2025-05-15,schoolcalendarinfo.com (current page)
Escambia County School District 2025-2026,Florida,escambia-county-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-12,2024-08-12,2025-05-23,schoolcalendarinfo.com (current page)
Eureka Union School District 2025-2026 in PDF,,eureka-union-school-district,2024-2025,2025-04-14,2025-04-18,2024-12-20,2025-01-06,2025-06-06,2024-08-14,2024-08-14,2025-06-06,schoolcalendarinfo.com (current page)
Fair Lawn Public Schools 2025-2026 in PDF,New Jersey,fair-lawn-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-24,2024-09-04,2024-09-04,2025-06-24,schoolcalendarinfo.com (current page)
Fairfax County Public Schools Holidays 2025-2026,,fairfax-county-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-07,2025-06-11,2024-08-19,2024-08-19,2025-06-11,schoolcalendarinfo.com (current page)
Fairfield Public Schools 2025-2026 (Connecticut),Connecticut,fairfield-public-schools,2024-2025,2025-04-14,2025-04-18,2024-12-23,2025-01-01,2025-06-10,2024-08-27,2024-08-27,2025-06-10,schoolcalendarinfo.com (current page)
Farmington Public Schools 2025 in PDF,Michigan,farmington-public-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-12,2024-08-26,2024-08-26,2025-06-12,schoolcalendarinfo.com (current page)
Fauquier County Public Schools 2025-2026 in PDF,Virginia,fauquier-county-public-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-03,2025-06-04,2024-08-14,2024-08-14,2025-06-04,schoolcalendarinfo.com (current page)
Fayette County Public Schools 2025-2026 in PDF,Kentucky,fayette-county-public-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-06,2025-05-28,2024-08-14,2024-08-14,2025-05-28,schoolcalendarinfo.com (current page)
Findlay City Schools 2025-2026 in PDF,Ohio,findlay-city-schools,2024-2025,2025-03-20,2025-03-24,2024-12-23,2025-01-03,2025-05-22,2024-08-15,2024-08-15,2025-05-22,schoolcalendarinfo.com (current page)
Florence City Schools 2025-2026 in PDF,Alabama,florence-city-schools,2024-2025,2025-03-21,2025-03-28,2024-12-16,2025-01-03,2025-05-22,2024-08-05,2024-08-05,2025-05-22,schoolcalendarinfo.com (current page)
Forsyth County Schools 2025-2026 (Georgia),Georgia,forsyth-county-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-05-22,2024-08-01,2024-08-01,2025-05-22,schoolcalendarinfo.com (current page)
Fort Mill School District 2025-2026 in PDF,South Carolina,fort-mill-school-district,2024-2025,2025-04-21,2025-04-25,2024-12-23,2025-01-03,2025-05-23,2024-08-08,2024-08-08,2025-05-23,schoolcalendarinfo.com (current page)
Fort Smith Public Schools 2025-2026 (FSPS),Arkansas,fort-smith-public-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-23,2024-08-19,2024-08-19,2025-05-23,schoolcalendarinfo.com (current page)
Fort Wayne Community Schools 2025-2026 in PDF,Indiana,fort-wayne-community-schools,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-06,2025-05-22,2024-08-08,2024-08-08,2025-05-22,schoolcalendarinfo.com (current page)
Fort Worth Independent School District 2025-2026,Texas,fort-worth-independent-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-20,2025-01-06,2025-05-22,2024-08-13,2024-08-13,2025-05-22,schoolcalendarinfo.com (current page)
